net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Endinet regio Eindhoven BV,8.71718518003012e+17,Buikhei,0000AA,0000AA,VELDHOVEN,10,100.0,100.0,,G4,2835.6,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Stapakker,0000AA,5091AA,OIRSCHOT,13,100.0,100.0,,G4,2100.62,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Margrietstraat,5091AB,5091AB,OOST WEST EN MIDDELBEERS,19,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Margrietstraat,5091AC,5091AC,OOST WEST EN MIDDELBEERS,14,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Margrietstraat,5091AC,5091AD,OOST WEST EN MIDDELBEERS,21,100.0,100.0,,G6,933.38,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Margrietstraat,5091AE,5091AE,OOST WEST EN MIDDELBEERS,14,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Margrietstraat,5091AE,5091AG,OOST WEST EN MIDDELBEERS,15,100.0,100.0,,G6,1814.53,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Rozenstraat,5091AH,5091AJ,OOST WEST EN MIDDELBEERS,19,100.0,100.0,,G4,1811.89,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Leliestraat,5091AK,5091AL,OOST WEST EN MIDDELBEERS,26,100.0,100.0,,G4,1164.0,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Hoenderakkers,5091AM,5091AN,OOST WEST EN MIDDELBEERS,22,100.0,100.0,,G4,1032.23,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Postelstraat,5091AW,5091AW,OOST WEST EN MIDDELBEERS,11,100.0,100.0,,G16,1874.82,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Postelstraat,5091AW,5091AX,OOST WEST EN MIDDELBEERS,10,100.0,100.0,,G6,1175.0,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Postelplein,5091AX,5091AZ,OOST WEST EN MIDDELBEERS,11,100.0,100.0,,G6,1154.91,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Antoniusstraat,5091BA,5091BA,OOST WEST EN MIDDELBEERS,17,100.0,100.0,,G4,0.0,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Antoniusstraat,5091BA,5091BB,OOST WEST EN MIDDELBEERS,14,100.0,100.0,,G6,1818.5,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Antoniusstraat,5091BB,5091BC,OOST WEST EN MIDDELBEERS,20,100.0,100.0,,G6,1421.85,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Andreasstraat,5091BC,5091BD,OOST WEST EN MIDDELBEERS,11,100.0,100.0,,G6,3537.18,0.0,0.0
Endinet regio Eindhoven BV,8.71718518003012e+17,Andreasstraat,5091BD,5091BE,OOST WEST EN MIDDELBEERS,10,100.0,100.0,,G6,1897.6,0.0,0.0
