net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
8717127750009,GAS Gastransport Services (GASUNIE),Poststraat,4301AA,4301AA,ZIERIKZEE,14,100.0,100.0,"50,00",G4,4262,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Poststraat,4301AB,4301AD,ZIERIKZEE,32,100.0,100.0,"71,88",G4,2827,0.0,9.38
8717127750009,GAS Gastransport Services (GASUNIE),Korte St. Janstraat,4301AE,4301AE,ZIERIKZEE,17,100.0,100.0,"88,24",G4,2239,0.0,5.88
8717127750009,GAS Gastransport Services (GASUNIE),Fonteine,4301AG,4301AH,ZIERIKZEE,31,100.0,100.0,"100,00",G4,1225,0.0,12.9
8717127750009,GAS Gastransport Services (GASUNIE),Lange St. Janstraat,4301AJ,4301AJ,ZIERIKZEE,16,100.0,100.0,"100,00",G4,1259,0.0,6.25
8717127750009,GAS Gastransport Services (GASUNIE),Lange St. Janstraat,4301AK,4301AL,ZIERIKZEE,21,100.0,100.0,"100,00",G4,1445,0.0,4.76
8717127750009,GAS Gastransport Services (GASUNIE),Krepelstraat,4301AM,4301AM,ZIERIKZEE,10,100.0,100.0,"100,00",G4,1833,0.0,20.0
8717127750009,GAS Gastransport Services (GASUNIE),Zevenhuisstraat,4301AN,4301AR,ZIERIKZEE,25,100.0,100.0,"88,00",G4,1687,0.0,8.0
8717127750009,GAS Gastransport Services (GASUNIE),Hoofdpoortstraat,4301AS,4301AS,ZIERIKZEE,12,100.0,100.0,"83,33",G4,2383,0.0,8.33
8717127750009,GAS Gastransport Services (GASUNIE),Hoofdpoortstraat,4301AT,4301AT,ZIERIKZEE,14,100.0,92.86,"92,86",G4,1907,0.0,7.14
8717127750009,GAS Gastransport Services (GASUNIE),Hoofdpoortstraat,4301AV,4301AV,ZIERIKZEE,17,100.0,100.0,"100,00",G4,1353,0.0,11.76
8717127750009,GAS Gastransport Services (GASUNIE),Breedstraat,4301AW,4301AW,ZIERIKZEE,14,100.0,100.0,"100,00",G4,1303,0.0,35.71
8717127750009,GAS Gastransport Services (GASUNIE),Breedstraat,4301AX,4301AX,ZIERIKZEE,11,100.0,100.0,"90,91",G4,1868,0.0,9.09
8717127750009,GAS Gastransport Services (GASUNIE),Schuttershofstraat,4301AZ,4301AZ,ZIERIKZEE,16,100.0,100.0,"100,00",G4,1180,0.0,12.5
8717127750009,GAS Gastransport Services (GASUNIE),Schuttershofstraat,4301BA,4301BA,ZIERIKZEE,14,100.0,92.86,"100,00",G4,1089,0.0,7.14
8717127750009,GAS Gastransport Services (GASUNIE),Ravestraat,4301BB,4301BB,ZIERIKZEE,11,100.0,100.0,"100,00",G4,1493,0.0,27.27
8717127750009,GAS Gastransport Services (GASUNIE),Ravestraat,4301BC,4301BC,ZIERIKZEE,18,100.0,100.0,"100,00",G4,1511,0.0,16.67
8717127750009,GAS Gastransport Services (GASUNIE),Gat van W N Westen,4301BD,4301BD,ZIERIKZEE,18,100.0,100.0,"94,44",G4,1179,0.0,5.56
8717127750009,GAS Gastransport Services (GASUNIE),Rozemarijnstraat,4301BE,4301BG,ZIERIKZEE,19,100.0,100.0,"94,74",G4,1405,0.0,21.05
8717127750009,GAS Gastransport Services (GASUNIE),Bagijnestraat,4301BH,4301BH,ZIERIKZEE,18,100.0,100.0,"100,00",G4,1319,0.0,33.33
8717127750009,GAS Gastransport Services (GASUNIE),Witte IJestraat,4301BJ,4301BK,ZIERIKZEE,61,100.0,100.0,"96,72",G4,1220,0.0,4.92
8717127750009,GAS Gastransport Services (GASUNIE),Pieterseliestraat,4301BL,4301BL,ZIERIKZEE,20,100.0,95.0,"100,00",G4,1203,0.0,15.0
8717127750009,GAS Gastransport Services (GASUNIE),Wevershoek,4301BM,4301BM,ZIERIKZEE,17,100.0,100.0,"100,00",G4,1372,0.0,11.76
8717127750009,GAS Gastransport Services (GASUNIE),Wevershoek,4301BN,4301BN,ZIERIKZEE,11,100.0,100.0,"100,00",G4,1410,0.0,9.09
8717127750009,GAS Gastransport Services (GASUNIE),Raamstraat,4301BP,4301BP,ZIERIKZEE,11,100.0,100.0,"81,82",G4,3062,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Regenboogstraat,4301BR,4301BS,ZIERIKZEE,21,100.0,100.0,"95,24",G4,1790,0.0,9.52
8717127750009,GAS Gastransport Services (GASUNIE),Regenboogstraat,4301BT,4301BT,ZIERIKZEE,16,100.0,100.0,"93,75",G4,1514,0.0,6.25
8717127750009,GAS Gastransport Services (GASUNIE),Regenboogstraat,4301BV,4301BV,ZIERIKZEE,31,100.0,67.74,"96,77",G4,1533,0.0,9.68
8717127750009,GAS Gastransport Services (GASUNIE),Weststraat,4301BW,4301BW,ZIERIKZEE,18,100.0,100.0,"83,33",G4,1709,0.0,11.11
8717127750009,GAS Gastransport Services (GASUNIE),Weststraat,4301BX,4301BX,ZIERIKZEE,20,100.0,100.0,"100,00",G4,1467,0.0,30.0
8717127750009,GAS Gastransport Services (GASUNIE),Kerkhof,4301BZ,4301CA,ZIERIKZEE,23,100.0,95.65,"47,83",G4,4084,0.0,13.04
8717127750009,GAS Gastransport Services (GASUNIE),Havenplein,4301CB,4301CB,ZIERIKZEE,12,100.0,100.0,"41,67",G4,5314,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Visstraat,4301CC,4301CC,ZIERIKZEE,14,100.0,100.0,"78,57",G4,2235,0.0,7.14
8717127750009,GAS Gastransport Services (GASUNIE),Havenpark,4301CD,4301CD,ZIERIKZEE,14,100.0,100.0,"50,00",G4,4602,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Havenpark,4301CE,4301CJ,ZIERIKZEE,41,100.0,100.0,"80,49",G4,2581,0.0,9.76
8717127750009,GAS Gastransport Services (GASUNIE),Oude Haven,4301CK,4301CK,ZIERIKZEE,12,100.0,100.0,"66,67",G4,3325,0.0,25.0
8717127750009,GAS Gastransport Services (GASUNIE),Oude Haven,4301CL,4301CL,ZIERIKZEE,13,100.0,100.0,"76,92",G4,2944,0.0,7.69
8717127750009,GAS Gastransport Services (GASUNIE),Sint Domusstraat,4301CM,4301CM,ZIERIKZEE,16,100.0,100.0,"87,50",G4,2250,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Sint Domusstraat,4301CN,4301CP,ZIERIKZEE,28,100.0,100.0,"89,29",G4,3296,0.0,3.57
8717127750009,GAS Gastransport Services (GASUNIE),Sint Domusstraat,4301CR,4301CR,ZIERIKZEE,12,100.0,91.67,"91,67",G4,2028,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Sint Domusstraat,4301CS,4301CS,ZIERIKZEE,19,100.0,100.0,"84,21",G4,1756,0.0,10.53
8717127750009,GAS Gastransport Services (GASUNIE),Nieuwe Bogerdstraat,4301CV,4301CV,ZIERIKZEE,14,100.0,100.0,"78,57",G4,1887,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Nieuwe Bogerdstraat,4301CW,4301CW,ZIERIKZEE,13,100.0,100.0,"100,00",G4,2030,0.0,7.69
8717127750009,GAS Gastransport Services (GASUNIE),Nieuwe Bogerdstraat,4301CX,4301CZ,ZIERIKZEE,23,100.0,100.0,"86,96",G4,1844,0.0,13.04
8717127750009,GAS Gastransport Services (GASUNIE),Venkelstraat,4301DA,4301DA,ZIERIKZEE,16,100.0,100.0,"100,00",G4,1383,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Venkelstraat,4301DB,4301DB,ZIERIKZEE,18,100.0,100.0,"100,00",G4,1320,0.0,5.56
8717127750009,GAS Gastransport Services (GASUNIE),Molenstraat,4301DC,4301DD,ZIERIKZEE,24,100.0,95.83,"100,00",G4,1107,0.0,29.17
8717127750009,GAS Gastransport Services (GASUNIE),Lange Groendal,4301DE,4301DE,ZIERIKZEE,11,100.0,100.0,"100,00",G4,1235,0.0,63.64
8717127750009,GAS Gastransport Services (GASUNIE),Lange Groendal,4301DG,4301DG,ZIERIKZEE,11,100.0,100.0,"100,00",G4,979,0.0,45.45
8717127750009,GAS Gastransport Services (GASUNIE),Kapellestraat,4301DH,4301DH,ZIERIKZEE,10,100.0,90.0,"100,00",G4,1146,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Nieuwe Haven,4301DJ,4301DJ,ZIERIKZEE,24,100.0,100.0,"79,17",G4,2399,0.0,8.33
8717127750009,GAS Gastransport Services (GASUNIE),Nieuwe Haven,4301DK,4301DK,ZIERIKZEE,22,100.0,100.0,"95,45",G4,1753,0.0,13.64
8717127750009,GAS Gastransport Services (GASUNIE),Nieuwe Haven,4301DL,4301DL,ZIERIKZEE,23,100.0,95.65,"95,65",G4,1758,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Nieuwe Haven,4301DM,4301EB,ZIERIKZEE,21,100.0,100.0,"85,71",G4,2269,0.0,9.52
8717127750009,GAS Gastransport Services (GASUNIE),Meelstraat,4301EC,4301ED,ZIERIKZEE,22,100.0,95.45,"77,27",G4,2691,0.0,0.0
8717127750009,GAS Gastransport Services (GASUNIE),Kerkplein,4301EE,4301EK,ZIERIKZEE,24,100.0,100.0,"91,67",G4,1214,0.0,8.33
