net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume
8716912000008,871718518003002641,Langewijk,7701AA,7701AA,DEDEMSVAART,17.0,100.0,100.0,100.0,G4,2344
8716912000008,871718518003002641,Langewijk,7701AB,7701AB,DEDEMSVAART,10.0,100.0,100.0,80.0,G4,4024
8716912000008,871718518003002641,Langewijk,7701AC,7701AC,DEDEMSVAART,17.0,100.0,100.0,100.0,G4,2083
8716912000008,871718518003002641,Langewijk,7701AD,7701AD,DEDEMSVAART,20.0,100.0,100.0,95.0,G4,2247
8716912000008,871718518003002641,Langewijk,7701AE,7701AE,DEDEMSVAART,13.0,100.0,100.0,92.0,G4,2600
8716912000008,871718518003002641,Langewijk,7701AG,7701AG,DEDEMSVAART,18.0,100.0,100.0,100.0,G4,2252
8716912000008,871718518003002641,Poolmanserf,7701AH,7701AH,DEDEMSVAART,25.0,100.0,84.0,88.0,G4,3890
8716912000008,871718518003002641,Langewijk,7701AJ,7701AJ,DEDEMSVAART,14.0,100.0,92.86,93.0,G4,2930
8716912000008,871718518003002641,Langewijk,7701AK,7701AK,DEDEMSVAART,15.0,100.0,93.33,40.0,G4,8684
8716912000008,871718518003002641,Langewijk,7701AL,7701AL,DEDEMSVAART,10.0,100.0,100.0,100.0,G4,2124
8716912000008,871718518003002641,Langewijk,7701AM,7701AM,DEDEMSVAART,16.0,100.0,100.0,94.0,G4,2695
8716912000008,871718518003002641,Langewijk,7701AN,7701AN,DEDEMSVAART,15.0,100.0,100.0,87.0,G4,2390
8716912000008,871718518003002641,Langewijk,7701AP,7701AP,DEDEMSVAART,18.0,100.0,100.0,94.0,G4,2391
8716912000008,871718518003002641,Langewijk,7701AR,7701AR,DEDEMSVAART,20.0,100.0,100.0,70.0,G4,3291
8716912000008,871718518003002641,Langewijk,7701AS,7701AS,DEDEMSVAART,18.0,100.0,94.44,67.0,G4,2313
8716912000008,871718518003002641,Langewijk,7701AT,7701AT,DEDEMSVAART,19.0,100.0,94.74,79.0,G4,2771
8716912000008,871718518003002641,Zuidwolderstraat,7701AV,7701AZ,DEDEMSVAART,34.0,100.0,97.06,85.0,G4,2932
8716912000008,871718518003002641,Langejacht,7701BA,7701BC,DEDEMSVAART,25.0,100.0,100.0,84.0,G4,3781
