net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,%Defintieve aansl (NRM),type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
westland-infra,871718518003006694,OOSTEINDE,2291AA,2291AE,WATERINGEN,28,100.0,100.0,100,75,G4,2632,0.0,0
westland-infra,871718518003006694,WATERPARK,2291AK,2291AK,WATERINGEN,37,100.0,100.0,100,97,G4,1673,0.0,0
westland-infra,871718518003006694,AZALEAPARK,2291AL,2291AL,WATERINGEN,28,100.0,100.0,100,100,G4,877,0.0,0
westland-infra,871718518003006694,DRUIVENLAAN,2291AN,2291AT,WATERINGEN,22,100.0,100.0,100,73,G4,2520,0.0,0
westland-infra,871718518003006694,KWAKLAAN,2291AV,2291AV,WATERINGEN,15,100.0,100.0,100,93,G4,1743,0.0,0
westland-infra,871718518003006694,VLOTLAAN,2291AW,2291AX,WATERINGEN,26,100.0,100.0,100,96,G4,1000,0.0,0
westland-infra,871718518003006694,VLIETLAAN,2291AZ,2291AZ,WATERINGEN,22,100.0,100.0,100,100,G4,822,0.0,0
westland-infra,871718518003006694,HERENSTRAAT,2291BB,2291BB,WATERINGEN,24,100.0,100.0,100,75,G4,1939,0.0,0
westland-infra,871718518003006694,HERENSTRAAT,2291BC,2291BC,WATERINGEN,12,100.0,100.0,100,67,G4,2650,0.0,0
westland-infra,871718518003006694,HERENSTRAAT,2291BE,2291BG,WATERINGEN,15,100.0,100.0,100,73,G4,4237,0.0,0
westland-infra,871718518003006694,HERENSTRAAT,2291BH,2291BH,WATERINGEN,19,100.0,100.0,100,79,G4,2894,0.0,0
westland-infra,871718518003006694,HERENSTRAAT,2291BJ,2291BK,WATERINGEN,24,100.0,100.0,100,67,G4,2820,0.0,0
westland-infra,871718518003006694,HERENSTRAAT,2291BL,2291BR,WATERINGEN,39,100.0,100.0,100,90,G4,2619,0.0,0
westland-infra,871718518003006694,ARKPAVILJOEN,2291BS,2291BS,WATERINGEN,18,100.0,100.0,100,100,G4,1037,0.0,0
westland-infra,871718518003006694,ARKPAVILJOEN,2291BT,2291BT,WATERINGEN,18,100.0,100.0,100,100,G4,839,0.0,0
westland-infra,871718518003006694,ARKPAVILJOEN,2291BV,2291BV,WATERINGEN,19,100.0,100.0,100,100,G4,850,0.0,0
westland-infra,871718518003006694,HEULWEG,2291BW,2291BW,WATERINGEN,10,100.0,100.0,100,70,G4,3253,0.0,0
westland-infra,871718518003006694,HEULWEG,2291BX,2291BZ,WATERINGEN,19,100.0,100.0,100,53,G4,4883,0.0,0
westland-infra,871718518003006694,PLEIN,2291CA,2291CA,WATERINGEN,10,100.0,100.0,100,40,G4,5103,0.0,0
westland-infra,871718518003006694,PLEIN,2291CB,2291CB,WATERINGEN,10,100.0,100.0,100,100,G4,1333,0.0,0
westland-infra,871718518003006694,PLEIN,2291CC,2291CC,WATERINGEN,43,100.0,100.0,100,81,G4,1792,0.0,0
westland-infra,871718518003006694,KERKLAAN,2291CD,2291CD,WATERINGEN,24,100.0,100.0,100,88,G4,2577,0.0,0
westland-infra,871718518003006694,KERKLAAN,2291CE,2291CE,WATERINGEN,20,100.0,100.0,100,70,G4,2872,0.0,0
westland-infra,871718518003006694,KERKLAAN,2291CG,2291CG,WATERINGEN,15,100.0,100.0,100,80,G4,2113,0.0,0
westland-infra,871718518003006694,KERKLAAN,2291CH,2291CH,WATERINGEN,55,100.0,100.0,100,98,G4,1270,0.0,0
westland-infra,871718518003006694,KERKLAAN,2291CJ,2291CM,WATERINGEN,29,100.0,100.0,100,83,G4,2099,0.0,0
westland-infra,871718518003006694,HOFZICHT,2291CN,2291CN,WATERINGEN,15,100.0,100.0,100,87,G4,1936,0.0,0
westland-infra,871718518003006694,HOFZICHT,2291CP,2291CP,WATERINGEN,17,100.0,100.0,100,100,G4,2171,0.0,0
westland-infra,871718518003006694,HOFWIJK,2291CR,2291CR,WATERINGEN,13,100.0,100.0,100,100,G4,1766,0.0,0
westland-infra,871718518003006694,HOFWIJK,2291CS,2291CS,WATERINGEN,14,100.0,100.0,100,100,G4,1687,0.0,0
westland-infra,871718518003006694,HOFPARK,2291CT,2291CV,WATERINGEN,18,100.0,100.0,100,94,G4,1348,0.0,0
westland-infra,871718518003006694,HEERENVLIET,2291CZ,2291CZ,WATERINGEN,27,100.0,100.0,100,96,G4,1186,0.0,0
westland-infra,871718518003006694,PLEINWAND,2291DB,2291DB,WATERINGEN,30,100.0,100.0,100,97,G4,2145,0.0,0
westland-infra,871718518003006694,BAKKERSHOF,2291DD,2291DD,WATERINGEN,33,100.0,100.0,100,100,G4,741,0.0,0
westland-infra,871718518003006694,BAKKERSHOF,2291DE,2291DE,WATERINGEN,35,100.0,100.0,100,100,G4,798,0.0,0
westland-infra,871718518003006694,WATERSTAATSPAD,2291DG,2291DX,WATERINGEN,48,100.0,100.0,100,94,G4,1770,0.0,0
westland-infra,871718518003006694,AMBACHTSHOF,2291DZ,2291EA,WATERINGEN,18,100.0,100.0,100,89,G4,1850,0.0,0
westland-infra,871718518003006694,NOORDWEG,2291EB,2291EE,WATERINGEN,14,100.0,100.0,100,64,G4,3647,0.0,0
westland-infra,871718518003006694,POORTWEIDE,2291EH,2291EH,WATERINGEN,29,100.0,100.0,100,100,G4,946,0.0,0
westland-infra,871718518003006694,POORTWEIDE,2291EJ,2291EJ,WATERINGEN,37,100.0,100.0,100,100,G4,1061,0.0,0
westland-infra,871718518003006694,ERASMUSWEG,2291EK,2291EN,WATERINGEN,28,100.0,100.0,100,89,G4,1772,0.0,0
westland-infra,871718518003006694,PRINS HENDRIKSTRAAT,2291EP,2291EP,WATERINGEN,24,100.0,100.0,100,96,G4,1771,0.0,0
westland-infra,871718518003006694,PRINS HENDRIKSTRAAT,2291ER,2291ER,WATERINGEN,23,100.0,100.0,100,96,G4,1579,0.0,0
westland-infra,871718518003006694,PRINS HENDRIKSTRAAT,2291ES,2291ES,WATERINGEN,16,100.0,100.0,100,94,G4,1884,0.0,0
westland-infra,871718518003006694,PRINS BERNHARDSTRAAT,2291ET,2291ET,WATERINGEN,15,100.0,100.0,100,93,G4,1863,0.0,0
westland-infra,871718518003006694,AMBACHTSWEG,2291EV,2291EV,WATERINGEN,15,100.0,100.0,100,93,G4,3398,0.0,0
westland-infra,871718518003006694,AMBACHTSWEG,2291EW,2291EX,WATERINGEN,33,100.0,100.0,100,79,G4,2206,0.0,0
westland-infra,871718518003006694,AMBACHTSWEG,2291EZ,2291EZ,WATERINGEN,29,100.0,100.0,100,69,G4,2143,0.0,0
westland-infra,871718518003006694,POELDIJKSEWEG,2291GA,2291GA,WATERINGEN,15,100.0,100.0,100,67,G4,3634,0.0,0
westland-infra,871718518003006694,POELDIJKSEWEG,2291GB,2291GE,WATERINGEN,29,100.0,100.0,100,76,G4,3023,0.0,0
westland-infra,871718518003006694,MARKUSLAAN,2291GG,2291GG,WATERINGEN,13,100.0,100.0,100,85,G4,2456,0.0,0
westland-infra,871718518003006694,BLAUWE AKELEI,2291GH,2291GH,WATERINGEN,10,100.0,100.0,100,100,G4,2965,0.0,0
westland-infra,871718518003006694,ROZEMARIJN,2291GJ,2291GJ,WATERINGEN,23,100.0,100.0,100,96,G4,2907,0.0,0
westland-infra,871718518003006694,ROZEMARIJN,2291GK,2291GK,WATERINGEN,20,100.0,100.0,100,100,G4,1216,0.0,0
westland-infra,871718518003006694,ROZEMARIJN,2291GL,2291GL,WATERINGEN,15,100.0,100.0,100,93,G4,1238,0.0,0
westland-infra,871718518003006694,ROZEMARIJN,2291GM,2291GM,WATERINGEN,15,100.0,100.0,100,100,G4,1902,0.0,0
westland-infra,871718518003006694,ROZEMARIJN,2291GN,2291GN,WATERINGEN,22,100.0,100.0,100,100,G4,1890,0.0,0
westland-infra,871718518003006694,ROZEMARIJN,2291GP,2291GR,WATERINGEN,28,100.0,100.0,100,96,G4,2116,0.0,0
westland-infra,871718518003006694,DE MEIBLOEM,2291GS,2291GS,WATERINGEN,18,100.0,100.0,100,94,G4,1909,0.0,0
westland-infra,871718518003006694,DE MEIBLOEM,2291GT,2291GT,WATERINGEN,18,100.0,100.0,100,100,G4,1814,0.0,0
westland-infra,871718518003006694,DE HOORNBLOEM,2291GV,2291GV,WATERINGEN,13,100.0,100.0,100,100,G4,1854,0.0,0
westland-infra,871718518003006694,GELE MEERBLOEM,2291GW,2291GW,WATERINGEN,21,100.0,100.0,100,100,G4,1707,0.0,0
westland-infra,871718518003006694,GELE MEERBLOEM,2291GX,2291GX,WATERINGEN,18,100.0,100.0,100,100,G4,1877,0.0,0
westland-infra,871718518003006694,WILLIGE RIJZEN,2291GZ,2291HM,WATERINGEN,64,100.0,100.0,100,91,G4,2307,0.0,0
westland-infra,871718518003006694,DORPSKADE,2291HN,2291HS,WATERINGEN,42,100.0,100.0,100,79,G4,3207,0.0,0
westland-infra,871718518003006694,DORPSKADE,2291HT,2291JA,WATERINGEN,38,100.0,100.0,100,89,G4,2256,0.0,0
westland-infra,871718518003006694,DE FRANKENTHALER,2291JB,2291JB,WATERINGEN,15,100.0,100.0,100,100,G4,1351,0.0,0
westland-infra,871718518003006694,DE FRANKENTHALER,2291JC,2291JC,WATERINGEN,16,100.0,100.0,100,100,G4,1539,0.0,0
westland-infra,871718518003006694,DE FRANKENTHALER,2291JD,2291JD,WATERINGEN,11,100.0,100.0,100,100,G4,1670,0.0,0
westland-infra,871718518003006694,DE FRANKENTHALER,2291JE,2291JE,WATERINGEN,12,100.0,100.0,100,92,G4,1818,0.0,0
westland-infra,871718518003006694,DE MUSCAAT,2291JG,2291JG,WATERINGEN,14,100.0,100.0,100,100,G4,1635,0.0,0
westland-infra,871718518003006694,DE MUSCAAT,2291JH,2291JH,WATERINGEN,17,100.0,100.0,100,100,G4,1652,0.0,0
westland-infra,871718518003006694,DE MUSCAAT,2291JJ,2291JJ,WATERINGEN,13,100.0,100.0,100,100,G4,1437,0.0,0
westland-infra,871718518003006694,DE COLMAN,2291JK,2291JK,WATERINGEN,16,100.0,100.0,100,100,G4,1709,0.0,0
westland-infra,871718518003006694,DE COLMAN,2291JL,2291JL,WATERINGEN,13,100.0,100.0,100,100,G4,1588,0.0,0
